epoch,train_loss,val_acc
1,2.956794761364756,0.3142528735632184
2,2.438270399773043,0.4259770114942529
3,2.1535600852342993,0.47402298850574714
4,1.9459834893544514,0.593103448275862
5,1.771543987825805,0.6347126436781609
6,1.6371931118123673,0.6786206896551724
7,1.5345265023848589,0.7105747126436781
8,1.4392778117672291,0.7609195402298851
9,1.3565900427064086,0.7655172413793103
10,1.2982697954364852,0.794712643678161
11,1.2251962555779352,0.8154022988505747
12,1.172492892913569,0.8381609195402299
13,1.1299338414778117,0.8606896551724138
14,1.089872493463404,0.863448275862069
15,1.0501406771295212,0.8685057471264368
16,1.0203643745067073,0.88
17,0.9932508507585214,0.9050574712643679
18,0.9692201462446475,0.8977011494252873
19,0.9395163468286103,0.9091954022988505
20,0.9244887006828209,0.9098850574712644
21,0.902104792446872,0.9188505747126436
22,0.8888306234007567,0.9218390804597701
23,0.8748813926004896,0.9213793103448276
24,0.8518972040391436,0.9285057471264367
25,0.8429394759773429,0.9351724137931035
26,0.8289673289442374,0.9358620689655173
27,0.8165078657904482,0.9365517241379311
28,0.8147585187472549,0.9379310344827586
29,0.7993922915334016,0.9413793103448276
30,0.7932379206800773,0.9411494252873563
31,0.7856034167062224,0.9445977011494253
32,0.7777574027285856,0.9434482758620689
33,0.7713142728883456,0.9409195402298851
34,0.7688843590371749,0.9411494252873563
35,0.7625243188508974,0.9457471264367816
36,0.752912326186311,0.9471264367816092
37,0.7501511147209242,0.948735632183908
38,0.7413698356915144,0.9482758620689655
39,0.7395882376658371,0.9471264367816092
40,0.7325499281774159,0.9503448275862069
41,0.7323300143082937,0.9457471264367816
42,0.7255091265915266,0.9503448275862069
43,0.7242838925395916,0.948735632183908
44,0.7215708665598451,0.9501149425287356
45,0.717726863871992,0.9478160919540229
46,0.7150377335112079,0.9485057471264368
47,0.713432190854565,0.9489655172413793
48,0.7082187100952747,0.952183908045977
49,0.7044978093088062,0.9501149425287356
50,0.7043390464938544,0.9503448275862069
51,0.7021575264291826,0.9498850574712644
52,0.6974278024209091,0.9482758620689655
53,0.6971105485180624,0.9498850574712644
54,0.6943740373343424,0.9496551724137932
55,0.6945160452057334,0.9496551724137932
56,0.691610085029228,0.9501149425287356
57,0.6895686302309721,0.9524137931034483
58,0.6868989555274739,0.9519540229885057
59,0.6867845808368882,0.9514942528735633
60,0.6850185143012627,0.9533333333333334
61,0.6809735179337022,0.9519540229885057
62,0.6809822067715763,0.9512643678160919
63,0.6795471283345441,0.9542528735632184
64,0.6791824314718932,0.9494252873563218
65,0.6785721626936221,0.9524137931034483
66,0.6759416071418064,0.9547126436781609
67,0.6743193693410338,0.952183908045977
68,0.6745467856039409,0.9535632183908046
69,0.6732799443933699,0.9544827586206897
70,0.6727195693776499,0.952183908045977
71,0.6717403081117892,0.9514942528735633
72,0.6703566476410511,0.9510344827586207
73,0.6698587550446878,0.9540229885057471
74,0.6696443861606074,0.9524137931034483
75,0.6695704968536601,0.9528735632183908
76,0.6677826204720665,0.9547126436781609
77,0.6664401479795867,0.9540229885057471
78,0.666413276024114,0.9517241379310345
79,0.6656897138146793,0.9542528735632184
80,0.6664230496275658,0.953103448275862
81,0.6649411692728404,0.9533333333333334
82,0.6644173174901725,0.9542528735632184
83,0.6636471255542407,0.9567816091954023
84,0.6623102101235608,0.9549425287356322
85,0.663519914438522,0.9537931034482758
86,0.6611264862266242,0.9563218390804598
87,0.6615177628651164,0.9535632183908046
88,0.6631460670941796,0.9540229885057471
89,0.6625002077202392,0.9547126436781609
90,0.6620090348658219,0.9540229885057471
91,0.6606514300006667,0.9556321839080459
92,0.6611153158097486,0.9556321839080459
93,0.6601408291486354,0.9544827586206897
94,0.6604239979600595,0.9544827586206897
95,0.6601776786489424,0.9549425287356322
96,0.6608888695832171,0.9544827586206897
97,0.6598260328660603,0.9540229885057471
98,0.66032708976783,0.9544827586206897
99,0.659975490733689,0.9549425287356322
100,0.659696436785405,0.9540229885057471
