epoch,train_loss,val_acc
1,2.9736591869341775,0.2289655172413793
2,2.484912011152781,0.3671264367816092
3,2.1979439684844864,0.46413793103448275
4,1.985797002601,0.5733333333333334
5,1.820760044166883,0.646896551724138
6,1.6816842333852489,0.6452873563218391
7,1.5787951491489964,0.7101149425287356
8,1.4875522206693852,0.7464367816091954
9,1.407848232758011,0.786896551724138
10,1.3340143002584899,0.7919540229885057
11,1.2721691540810445,0.8172413793103448
12,1.2169675803398863,0.8425287356321839
13,1.169952695253775,0.8574712643678161
14,1.1298436952650572,0.8501149425287357
15,1.089221338812653,0.8701149425287357
16,1.0569283248552948,0.8917241379310344
17,1.0183567260546151,0.904367816091954
18,0.9945918443887927,0.9064367816091954
19,0.9655186444533129,0.912183908045977
20,0.9429466408712794,0.9266666666666666
21,0.9208442601906216,0.9282758620689655
22,0.8989646615765754,0.9291954022988506
23,0.8818234425444578,0.9301149425287356
24,0.8583132616587936,0.9462068965517242
25,0.8416384335776276,0.9448275862068966
26,0.8290273839227998,0.9489655172413793
27,0.8155647734500556,0.9537931034482758
28,0.8023178689471059,0.948735632183908
29,0.7897574748854566,0.9558620689655173
30,0.7761249027302862,0.9563218390804598
31,0.7667935246782104,0.9588505747126437
32,0.757729963546,0.9588505747126437
33,0.749414411743758,0.960919540229885
34,0.7406716947171655,0.9606896551724138
35,0.7332347626095652,0.9602298850574713
36,0.7267393308802435,0.9622988505747126
37,0.7200594887618489,0.9627586206896551
38,0.7147031618859946,0.964367816091954
39,0.7104408419468377,0.9632183908045977
40,0.7062546295880004,0.9616091954022988
41,0.7025782863705022,0.964367816091954
42,0.699120711880798,0.964367816091954
43,0.6967777163581942,0.9645977011494253
44,0.693986486842986,0.9657471264367816
45,0.6918655792985783,0.9639080459770115
46,0.6899727254095105,0.9664367816091954
47,0.6888788462074913,0.9650574712643678
48,0.6872995111422974,0.9655172413793104
49,0.6872925240748943,0.9664367816091954
50,0.6853291304393062,0.9662068965517241
