模型名称,准确率,精确率,召回率,F1分数
vgg19,82.67%,82.98%,82.20%,82.30%
resnet18,74.42%,75.06%,73.93%,73.96%
resnet34,75.83%,75.80%,75.25%,75.21%
resnet50,73.44%,73.51%,72.86%,72.75%
resnet101,77.73%,77.94%,77.13%,77.18%
resnet152,78.44%,78.15%,77.91%,77.85%
convnext_v2_tiny,54.32%,53.31%,53.64%,53.10%
swin_tiny,70.72%,70.82%,70.04%,70.09%
vit_tiny,39.27%,41.19%,38.95%,38.85%
