epoch,train_loss,val_acc,val_precision,val_recall,val_f1
1,1.7269971872077268,0.8097238895558223,0.812706608342973,0.8089296984652609,0.8087407835958398
2,1.0921032618073856,0.8493397358943577,0.8531518017811429,0.8443601679564668,0.8461084746447585
3,0.9346448756316129,0.8637454981992797,0.8665377351557912,0.8614828184000705,0.8621638296188197
4,0.8488286847577375,0.8775510204081632,0.8828020598101042,0.8746200266621857,0.8763189499309799
5,0.7934236749130137,0.8781512605042017,0.8823341012067715,0.8762573053554383,0.8776352556351042
6,0.7601502755109002,0.8781512605042017,0.882689730714667,0.8755328847543477,0.8772800196822084
7,0.7379739468588549,0.882953181272509,0.8875856075613081,0.8806767440217564,0.8825902468189947
8,0.7231484793564853,0.8853541416566627,0.8889557034730833,0.8824742530688185,0.8838429207457502
9,0.7114716040737489,0.8907563025210085,0.8947750772735586,0.8889739562330667,0.8903631970020466
10,0.7022753117715611,0.885954381752701,0.8905940071706113,0.8830810108249435,0.8850283356609115
11,0.6964709970880957,0.8883553421368547,0.8909810377719607,0.8855051812391769,0.8869377848544946
12,0.6909472579465193,0.8961584633853541,0.8998376522070317,0.8939155900446351,0.8957333702682468
13,0.6873144290026496,0.8889555822328932,0.8913660610748046,0.8865851633383734,0.8878003372524551
14,0.6835839641444823,0.8919567827130852,0.8960947131794299,0.89041169538736,0.8917138954993867
15,0.6821810531265595,0.8943577430972389,0.8980360279652493,0.8918736608627456,0.893623770386713
16,0.6799986283568775,0.8955582232893158,0.8985160101590612,0.8933354452434706,0.8947039006450344
17,0.677833453522009,0.8955582232893158,0.8976421084628265,0.8939704647743976,0.8947405623504134
18,0.6776989079573575,0.8979591836734694,0.9012525906297764,0.8958692709324589,0.8972748675609439
19,0.6767875191043405,0.8979591836734694,0.9006771615773314,0.8959992226055852,0.8971952419951663
20,0.6769473240656011,0.897358943577431,0.8999905155110773,0.8952655468902514,0.8964668659479177
