epoch,train_loss,val_acc,val_precision,val_recall,val_f1
1,1.5302953820018208,0.8979591836734694,0.8984957627462975,0.8956391967868865,0.8959900819617004
2,0.9216308246640598,0.9231692677070829,0.9246908317748554,0.9206199715477247,0.9216789658808586
3,0.8242811609716977,0.9279711884753902,0.928257246839158,0.9259141568028675,0.9261892524908768
4,0.7755136891322978,0.9345738295318127,0.9353149870482613,0.932930745305216,0.9334242171350884
5,0.7442705221035901,0.9381752701080432,0.9380814733516849,0.9370597007956631,0.9369593495009515
6,0.7213288805064033,0.9381752701080432,0.9381237504107337,0.9374519742546484,0.937241591787345
7,0.7079223448739332,0.943577430972389,0.9437017465373929,0.9426203233920984,0.9425301474424069
8,0.6980372456943288,0.9381752701080432,0.9393841200868929,0.9370387845887336,0.9374469341442286
9,0.6908128833069521,0.9381752701080432,0.9384309121711444,0.9376746303607341,0.937480499768431
10,0.6838507829343572,0.9369747899159664,0.9383813823029269,0.9361893816700155,0.9366440549768741
11,0.6787722193142947,0.9405762304921969,0.9405656156040465,0.9400080833271004,0.9398538439769649
12,0.6752141752663781,0.943577430972389,0.9442593046057217,0.9426857059851205,0.9429843719563121
13,0.673240939483923,0.9405762304921969,0.9414338041389301,0.939790037788,0.9401804736996869
14,0.669624547572697,0.9423769507803121,0.9423085839120208,0.9416683386210756,0.941600849044152
15,0.6688493379775216,0.9405762304921969,0.9410889483484877,0.939592171760971,0.9398765237616867
16,0.6677354462006513,0.9429771908763506,0.9437909793289708,0.9421966055977836,0.9425375085752639
17,0.6661479166325401,0.9429771908763506,0.943404206249919,0.942240973549551,0.9422368294534419
18,0.6654618482379352,0.9405762304921969,0.9409506541782053,0.9398454497875168,0.9399351861666492
19,0.6649986915728625,0.9405762304921969,0.9407622242342758,0.9399158426774166,0.9398599420480543
20,0.6647444365655675,0.9411764705882353,0.9415979831576587,0.9404720162035569,0.940551110317385
