epoch,train_loss,val_acc,val_precision,val_recall,val_f1
1,1.9669894092223223,0.7935174069627852,0.8012778937645689,0.7896417032130378,0.7906614231885214
2,1.096431303725523,0.8619447779111644,0.8660162942573043,0.859524414435212,0.8607402832905214
3,0.9430590308764402,0.8919567827130852,0.8945094882690681,0.8903230081297285,0.8908124039375203
4,0.865367859251359,0.9003601440576231,0.9022224615755539,0.8995088391334377,0.8992002301457203
5,0.8147180127746919,0.9039615846338536,0.9046314629923364,0.9025840059732275,0.9025325627353344
6,0.780556374262361,0.9015606242496998,0.9044232111255963,0.9004600385280116,0.9004964024906797
7,0.7554371803998947,0.9081632653061225,0.9095533920929643,0.9067809424125162,0.9070285746380123
8,0.7367039215915343,0.904561824729892,0.904438320318503,0.9029818667875287,0.9028722885043511
9,0.7236582419451545,0.9099639855942377,0.9122474851184441,0.9084122659168311,0.9090448156157995
10,0.7124105544651256,0.9111644657863145,0.9123283621053929,0.9092231747303752,0.9099054250059575
11,0.7049240071983899,0.9123649459783914,0.9135298984052641,0.9116007195133118,0.9117852046449331
12,0.6983730032163508,0.9117647058823529,0.9130677675920068,0.9098359316910171,0.9105716659496231
13,0.6925744575612686,0.9165666266506602,0.9173835086069151,0.9148913110141828,0.9152459129805418
14,0.6892737763769486,0.9165666266506602,0.9170705060615554,0.9149012440358091,0.9150671952247853
15,0.6864357054233551,0.9171668667466987,0.9179530675948807,0.9152325353245951,0.9157252967738347
16,0.684271968462888,0.9171668667466987,0.9177217086360498,0.9158205872524441,0.915909759822876
17,0.6830517269232694,0.9153661464585834,0.9162308267879228,0.9141211337503093,0.9142808406011642
18,0.6808954393162446,0.9153661464585834,0.9166041998363986,0.9134314494832523,0.9140770894354172
19,0.6804740043247447,0.9159663865546218,0.9169202776259436,0.9141592395797645,0.914634219166677
20,0.6802185558220919,0.9165666266506602,0.9174295154168703,0.9149643171165649,0.9153041613304737
