epoch,train_loss,val_acc,val_precision,val_recall,val_f1
1,1.535913637934822,0.8319327731092437,0.8374918541283403,0.8298141788159767,0.831537138576972
2,1.0133429246380208,0.8625450180072028,0.8625174692624313,0.8604170647180626,0.8603942177212439
3,0.8880741163490887,0.8661464585834334,0.8685077101587536,0.8639699550042901,0.8648932814401896
4,0.8233407002549349,0.8715486194477791,0.8730910448002696,0.8689382855840896,0.8699309094330864
5,0.7832150091227033,0.8739495798319328,0.8742250645864218,0.8706137051341843,0.8715961708623434
6,0.7601405170832806,0.8769507803121248,0.8765886387388264,0.874947239700029,0.8751905375341495
7,0.7410943687904753,0.8751500600240096,0.8750902601349672,0.8713640031857677,0.8721720190378228
8,0.7277160407691021,0.8835534213685474,0.8857207740002072,0.8810767600357076,0.8822186722424578
9,0.7163661660934117,0.8739495798319328,0.8755265212078626,0.8711140838591773,0.8722414249477954
10,0.7092928677939807,0.8811524609843937,0.8828877219259029,0.8781196329682988,0.8795570995393847
11,0.7042381914497605,0.8883553421368547,0.8898234138540985,0.8848970639424164,0.8860163636979496
12,0.6986043027500407,0.8823529411764706,0.885228402309867,0.8805184417797243,0.8817579390464105
13,0.693942491580301,0.8847539015606243,0.8869072375103634,0.8818296217961425,0.8830788469356039
14,0.6903308290205882,0.882953181272509,0.8828068247445929,0.8800005466502109,0.8805862880250321
15,0.6875503860049583,0.8871548619447779,0.8873809612943017,0.8849461881865335,0.8852654451413514
16,0.6852166165363793,0.8895558223289316,0.8911935536825848,0.8870073740327074,0.8882021633733278
17,0.6835677338988082,0.8877551020408163,0.8889300249907255,0.8847850735111177,0.8857845250918843
18,0.6827960607320696,0.8853541416566627,0.8862404468754087,0.8827665296147439,0.8833474134738303
19,0.6819794079142925,0.882953181272509,0.8850044410740086,0.8806379795657615,0.8815129178609857
20,0.6814133972093962,0.8895558223289316,0.8921003664842044,0.8866895449354562,0.8880452100206655
